label,n_runs,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper
P2c Image pure-positive-canon,1,50,0.6949,0.6491,0.7343,0.6019,0.545,0.6482,0.8219,0.7787,0.8653
P2a Brief text+image,3,50,0.6931,0.6491,0.7311,0.5833,0.5305,0.6315,0.8541,0.8173,0.8907
P2c Image scale-4,1,50,0.6904,0.6363,0.7379,0.5746,0.5068,0.6346,0.8646,0.8271,0.9029
P2c Image canonical,1,50,0.6894,0.645,0.727,0.6028,0.5487,0.6479,0.8052,0.7578,0.8491
P2c Image scale-8,1,40,0.6875,0.6463,0.7216,0.5844,0.5353,0.6286,0.8349,0.7969,0.8736
P2b Image T=0.0,3,40,0.6858,0.6448,0.7207,0.5822,0.5329,0.6266,0.8343,0.7962,0.8732
P2e Canonical last,1,30,0.6858,0.6397,0.725,0.5783,0.5276,0.6243,0.8423,0.7936,0.8818
P2b Image T=1.0,3,50,0.6855,0.6402,0.7241,0.572,0.5178,0.6199,0.8553,0.8169,0.8937
P2b Image T=0.3,3,40,0.6848,0.6425,0.7211,0.5813,0.5308,0.627,0.833,0.7917,0.8712
P2a Verbose text+image,3,50,0.6826,0.6381,0.724,0.5732,0.5232,0.6203,0.8435,0.7988,0.8856
P2c Image canonical,1,40,0.6799,0.635,0.7186,0.5944,0.5412,0.6389,0.7941,0.7461,0.8399
P2c Image pure-positive-canon,1,40,0.6761,0.6311,0.7138,0.5856,0.5297,0.6314,0.7996,0.7568,0.8444
P2e Random,1,40,0.6735,0.6256,0.7144,0.5579,0.4994,0.6092,0.8497,0.8102,0.8869
P2b Image T=0.7,3,40,0.6729,0.6286,0.7138,0.567,0.5144,0.6139,0.8275,0.7849,0.8691
P2a Brief text+image,3,40,0.6726,0.6286,0.7118,0.566,0.514,0.6131,0.8287,0.7898,0.8674
P2b Image T=1.3,3,50,0.6708,0.6218,0.7139,0.5552,0.4979,0.607,0.8473,0.8086,0.8834
P2e Config default,1,30,0.6708,0.6296,0.7092,0.5758,0.529,0.6193,0.8033,0.7559,0.848
P2c Image scale-4,1,40,0.6696,0.6165,0.718,0.5573,0.4951,0.6166,0.8386,0.7955,0.8812
P2d Image verbose,1,30,0.6682,0.6225,0.7106,0.5768,0.5255,0.6231,0.7941,0.7428,0.8439
P2d Text verbose,1,50,0.6672,0.6135,0.7153,0.5589,0.4931,0.6183,0.8275,0.7857,0.8712
P2b Image T=1.0,3,40,0.6662,0.6195,0.7074,0.5558,0.5033,0.6034,0.8312,0.7875,0.8722
P2c Image plus-hp,1,30,0.6641,0.6174,0.706,0.5642,0.515,0.609,0.8071,0.7554,0.8574
P2e Canonical first,1,30,0.6641,0.6174,0.706,0.5642,0.515,0.609,0.8071,0.7554,0.8574
P2a Verbose text+image,3,40,0.6581,0.6145,0.7008,0.5526,0.5041,0.5988,0.8132,0.7656,0.8618
P2c Text scale-8,1,50,0.6577,0.6009,0.7061,0.5301,0.4647,0.5888,0.8664,0.8272,0.9032
P2b Text T=0.3,3,50,0.6575,0.6022,0.7035,0.5322,0.4684,0.5878,0.8603,0.8205,0.8968
P2b Text T=0.0,3,50,0.6561,0.5986,0.705,0.5279,0.4632,0.5867,0.8664,0.827,0.9036
P2c Image scale-8,1,30,0.6555,0.6128,0.6946,0.5571,0.5076,0.6019,0.7959,0.7527,0.8391
P2d Text verbose,1,40,0.6552,0.6002,0.7038,0.5489,0.4834,0.608,0.8126,0.764,0.8623
P2c Text pure-positive-canon,1,50,0.655,0.5994,0.7049,0.5265,0.4633,0.5874,0.8664,0.8267,0.9032
P2c Text plus-hp,1,50,0.6545,0.5995,0.7024,0.5266,0.4638,0.585,0.8646,0.826,0.9011
P2c Text scale-4,1,50,0.6545,0.5988,0.7032,0.5272,0.4637,0.5869,0.8627,0.822,0.901
P2d Text terse,1,50,0.6539,0.5989,0.7078,0.53,0.4635,0.5943,0.8534,0.8118,0.8931
P2b Image T=0.0,3,30,0.6538,0.6113,0.6934,0.555,0.5054,0.6004,0.7953,0.7521,0.8388
P2c Image canonical,1,30,0.6529,0.6089,0.6932,0.5708,0.519,0.6156,0.7625,0.7143,0.8071
P2c Text scale-8,1,40,0.6521,0.5963,0.7011,0.5255,0.461,0.585,0.859,0.8194,0.8977
P2b Text T=0.3,3,40,0.6519,0.5958,0.6987,0.5276,0.463,0.5834,0.8528,0.8117,0.8906
P2b Text T=0.0,3,40,0.6514,0.595,0.7004,0.5241,0.4585,0.5838,0.8602,0.8204,0.8987
P2b Image T=0.3,3,30,0.6512,0.6082,0.6908,0.5529,0.5028,0.5986,0.7922,0.7445,0.8373
P2c Text pure-positive-canon,1,40,0.6508,0.5963,0.7009,0.5231,0.4599,0.5838,0.8609,0.8207,0.8995
P2c Text canonical,1,50,0.6504,0.5901,0.7002,0.5206,0.454,0.5786,0.8664,0.8251,0.9039
P2d Image terse,1,30,0.6494,0.6074,0.6912,0.5511,0.5024,0.5964,0.7904,0.7447,0.8375
P2a Image only,3,50,0.6491,0.5986,0.6925,0.5295,0.469,0.5851,0.8386,0.7965,0.8744
P2c Text plus-hp,1,40,0.6489,0.5946,0.6981,0.522,0.4605,0.5812,0.8571,0.8182,0.8954
P2c Text scale-4,1,40,0.6488,0.594,0.6979,0.5227,0.4577,0.5826,0.8553,0.8149,0.8949
P2c Image pure-positive-canon,1,30,0.6463,0.5986,0.6871,0.5598,0.5055,0.6059,0.7644,0.7125,0.8158
P2c Text canonical,1,40,0.6462,0.5873,0.6977,0.5173,0.4508,0.5769,0.8609,0.8198,0.8988
P2b Image T=1.3,3,40,0.6453,0.597,0.6882,0.5341,0.4784,0.5847,0.8151,0.7738,0.8554
P2c Text scale-8,1,30,0.6451,0.59,0.6942,0.5199,0.4554,0.5787,0.8497,0.8092,0.8905
P2e Random,1,30,0.6441,0.5948,0.6878,0.5335,0.477,0.5842,0.8126,0.7662,0.8557
P2d Text terse,1,40,0.6439,0.5846,0.6977,0.5219,0.4555,0.5849,0.8404,0.7959,0.8823
P2b Text T=0.0,3,30,0.6434,0.5874,0.6924,0.5177,0.4528,0.5768,0.8497,0.8089,0.8906
P2c Text pure-positive-canon,1,30,0.641,0.5869,0.6895,0.5152,0.4518,0.576,0.8479,0.8057,0.8883
P2c Text scale-4,1,30,0.6404,0.586,0.6893,0.5159,0.4512,0.575,0.8442,0.8003,0.8863
P2c Text plus-hp,1,30,0.6376,0.5819,0.6861,0.513,0.4498,0.571,0.8423,0.7992,0.8813
P2c Image scale-4,1,30,0.637,0.5853,0.6828,0.5302,0.4668,0.5868,0.7978,0.7521,0.8439
P2c Text canonical,1,30,0.6365,0.5775,0.6878,0.5095,0.4425,0.5695,0.8479,0.8041,0.8909
P2b Text T=0.3,3,30,0.6348,0.5798,0.6829,0.5138,0.4509,0.5705,0.8306,0.7873,0.8728
P2b Image T=0.7,3,30,0.6337,0.5886,0.676,0.5339,0.4829,0.5819,0.7792,0.733,0.8243
P2b Text T=0.7,3,50,0.6317,0.5708,0.6825,0.4981,0.4308,0.559,0.8633,0.821,0.9002
P2e Canonical last,1,20,0.6314,0.5867,0.6717,0.5325,0.4855,0.5758,0.7755,0.7212,0.8245
P2a Brief text+image,3,30,0.6303,0.5841,0.6719,0.5304,0.4801,0.5787,0.7767,0.7293,0.8233
P2d Text verbose,1,30,0.6298,0.5731,0.6796,0.5276,0.4628,0.5893,0.7811,0.7299,0.8331
P2d Text terse,1,30,0.6269,0.5656,0.6796,0.5081,0.4432,0.5713,0.8182,0.7677,0.8648
P2b Text T=0.7,3,40,0.6244,0.5635,0.6756,0.4923,0.4253,0.5524,0.8535,0.8098,0.8926
P2a Brief text,3,50,0.6229,0.5643,0.6772,0.4895,0.425,0.5559,0.8565,0.812,0.8946
P2a Image only,3,40,0.62,0.5694,0.6653,0.5058,0.4473,0.5599,0.8009,0.7539,0.8414
P2b Image T=1.0,3,30,0.6191,0.5714,0.6637,0.5165,0.4649,0.5638,0.7724,0.7249,0.8185
P2b Text T=1.3,3,50,0.6155,0.5552,0.6705,0.4809,0.4149,0.5475,0.8547,0.8098,0.8932
P2a Brief text,3,40,0.613,0.5546,0.6678,0.4817,0.4177,0.5478,0.8429,0.7959,0.8835
P2a Verbose text+image,3,30,0.613,0.5657,0.6572,0.5149,0.4665,0.5622,0.7576,0.7055,0.808
P2b Text T=0.7,3,30,0.6122,0.5516,0.6633,0.4827,0.4162,0.5413,0.8367,0.7894,0.8796
P2c Text scale-4,1,20,0.6094,0.5528,0.659,0.4909,0.4291,0.5471,0.8033,0.75,0.8505
P2b Text T=1.3,3,40,0.6075,0.5465,0.6625,0.4746,0.4083,0.5409,0.8436,0.7948,0.885
P2c Text scale-8,1,20,0.607,0.5485,0.6561,0.4892,0.4258,0.5452,0.7996,0.7455,0.8467
P2b Text T=0.3,3,20,0.6065,0.5522,0.6568,0.4908,0.4309,0.547,0.7935,0.7419,0.8432
P2e Config default,1,20,0.6057,0.561,0.6541,0.5199,0.4758,0.5678,0.7254,0.6697,0.7788
P2b Text T=0.0,3,20,0.6055,0.5476,0.6559,0.4872,0.4236,0.5451,0.7996,0.746,0.8467
P2d Image terse,1,20,0.6052,0.5632,0.6454,0.5136,0.4656,0.5568,0.7365,0.6893,0.7837
P2c Text canonical,1,20,0.6045,0.5464,0.6555,0.4838,0.4197,0.5424,0.8052,0.7577,0.8508
P2c Text pure-positive-canon,1,20,0.6045,0.5475,0.653,0.4859,0.4239,0.541,0.7996,0.7439,0.8479
P2b Text T=1.0,3,50,0.6034,0.5349,0.6664,0.469,0.3956,0.5436,0.8466,0.8025,0.8858
P2d Image verbose,1,20,0.6027,0.5541,0.6473,0.5202,0.4684,0.5667,0.7161,0.6615,0.7683
P2b Image T=1.3,3,30,0.6012,0.5533,0.6462,0.4976,0.4439,0.5471,0.7594,0.7123,0.8049
P2a Verbose text,3,50,0.5999,0.5422,0.653,0.4698,0.4076,0.5329,0.8299,0.7848,0.8706
P2c Image plus-hp,1,20,0.5985,0.5467,0.6453,0.5084,0.4573,0.5561,0.7273,0.668,0.7849
P2e Canonical first,1,20,0.5985,0.5467,0.6453,0.5084,0.4573,0.5561,0.7273,0.668,0.7849
P2d Text terse,1,20,0.5984,0.5368,0.6507,0.485,0.4197,0.5463,0.7811,0.7265,0.8307
P2c Text plus-hp,1,20,0.5969,0.5398,0.648,0.4802,0.4186,0.5343,0.7885,0.7352,0.8408
P2a Brief text,3,30,0.5958,0.5352,0.6503,0.4682,0.4043,0.5323,0.8194,0.7699,0.8636
P2b Text T=1.0,3,40,0.5951,0.5257,0.6577,0.4626,0.3901,0.5366,0.8349,0.7888,0.8756
P2b Text T=1.3,3,30,0.5905,0.5287,0.6453,0.4614,0.3964,0.526,0.82,0.7698,0.864
P2c Image scale-8,1,20,0.5867,0.5414,0.6324,0.4987,0.4526,0.5448,0.7124,0.6605,0.7661
P2b Image T=0.0,3,20,0.5862,0.5415,0.632,0.4976,0.451,0.5432,0.713,0.6618,0.7667
P2a Verbose text,3,40,0.5843,0.5251,0.6388,0.4576,0.3958,0.5194,0.8083,0.7588,0.8539
P2b Text T=0.7,3,20,0.5842,0.523,0.6361,0.4606,0.3954,0.5194,0.7984,0.7463,0.8474
P2c Image scale-4,1,20,0.5837,0.5333,0.6298,0.4858,0.4278,0.5398,0.731,0.676,0.7791
P2d Text verbose,1,20,0.5834,0.5254,0.6362,0.4887,0.4236,0.5457,0.7236,0.6659,0.7821
P2c Image canonical,1,20,0.5814,0.5341,0.6253,0.5083,0.4576,0.554,0.679,0.6246,0.7348
P2b Text T=1.0,3,30,0.5775,0.5089,0.6407,0.4489,0.377,0.5216,0.8102,0.7588,0.8553
P2b Image T=0.3,3,20,0.575,0.531,0.6178,0.4881,0.442,0.5323,0.6994,0.649,0.7513
P2a Image only,3,30,0.574,0.5233,0.6201,0.4683,0.4132,0.5206,0.7415,0.6914,0.7876
P2e Random,1,20,0.5706,0.5188,0.6178,0.4726,0.4181,0.5218,0.7199,0.6678,0.7666
P2c Image pure-positive-canon,1,20,0.5678,0.5199,0.6107,0.4918,0.4406,0.5361,0.6716,0.6206,0.7262
P2a Verbose text,3,30,0.5552,0.4953,0.6099,0.4348,0.3727,0.4966,0.7681,0.7117,0.8193
P2a Brief text,3,20,0.5518,0.4917,0.6054,0.4336,0.3721,0.4944,0.7588,0.7004,0.8099
P2b Text T=1.3,3,20,0.5442,0.4832,0.5994,0.4252,0.3616,0.4873,0.7557,0.6979,0.8066
P2b Image T=0.7,3,20,0.5366,0.4904,0.5801,0.4521,0.4059,0.4976,0.6599,0.6097,0.7123
P2b Text T=1.0,3,20,0.5335,0.4666,0.5953,0.4148,0.3466,0.4832,0.7483,0.6926,0.7992
P2b Image T=1.0,3,20,0.5269,0.4785,0.5719,0.4396,0.3916,0.4849,0.6574,0.6059,0.71
P2a Brief text+image,3,20,0.522,0.4751,0.5668,0.4392,0.3912,0.4856,0.6432,0.5895,0.6966
P2a Verbose text+image,3,20,0.517,0.47,0.5633,0.4342,0.3878,0.4797,0.6388,0.5839,0.6936
P2a Verbose text,3,20,0.5016,0.4429,0.5553,0.3928,0.3339,0.4502,0.6939,0.6315,0.7511
P2b Image T=1.3,3,20,0.4921,0.4457,0.5374,0.4074,0.3608,0.4538,0.6215,0.5711,0.6731
P2a Image only,3,20,0.4697,0.4223,0.515,0.3832,0.3351,0.4298,0.6067,0.5532,0.6578
